"v1","v2","v3","v4","v5","v6","v7","v8"
3e-04,8e-04,-2e-04,-4e-04,-2e-04,-2e-04,0,-5e-04
1e-04,0.0027,-6e-04,-0.0013,-3e-04,-8e-04,5e-04,-0.0017
0.0019,0.0092,-0.0012,-0.0016,-7e-04,-0.0026,0.0015,-0.0062
0.002,0.022,-0.0045,-0.0031,-0.0043,-0.0048,0.0047,-0.0161
0.0027,0.0382,-0.0138,-0.0029,-0.0124,-0.0073,0.011,-0.0278
0.005,0.0532,-0.0291,-0.0011,-0.0227,-0.0098,0.0222,-0.1027
-0.0016,0.0546,-0.0539,0.0039,-0.0519,-0.0016,0.0428,-0.1904
-0.0011,0.0276,-0.0847,0.0121,-0.074,0.0144,0.0571,-0.0611
-0.00750000000000001,-0.00939999999999999,-0.0622,0.0194,-0.0876,0.0294,0.0819,0.0752
-0.00440000000000002,-0.0635,-0.0124,0.0285,-0.0708,0.014,0.0499,0.1137
-0.002,-0.0629,0.0591,0.0104,-0.0274,0.00770000000000001,0.000600000000000017,0.0997
-0.0021,-0.0426,0.0678,-0.044,0.0329,-0.0132,-0.0451,0.062
0.0039,-0.0261,0.0636,-0.0496,0.0661,-0.0116,-0.0827,0.0327
0.0016,-0.0083,0.0414,-0.0088,0.0902,-0.012,-0.0792,0.0145
0.0019,0.000199999999999999,0.0207,0.0152,0.0809,-0.0033,-0.0414,0.0056
-0.000699999999999999,0.0015,0.0058,0.0127,0.047,0.0017,-0.0171,0.0022
-7e-04,0.0015,0.0031,0.0069,0.0204,5e-04,-0.0053,5e-04
4e-04,0.0013,9e-04,0.003,0.0106,-9.99999999999998e-05,-9e-04,2e-04
2e-04,1e-04,0,8e-04,0.003,-2e-04,-5e-04,0
1e-04,-1e-04,2e-04,-1e-04,0.0012,-2e-04,0,2e-04
