"v1","v2","v3","v4","v5","v6","v7","v8"
6e-04,0.0018,1e-04,2e-04,0,3e-04,2e-04,1e-04
0.0029,0.011,0.0016,0.0012,4e-04,0.0013,0.0018,0.0034
0.013,0.0399,0.0052,0.0089,0.0013,0.0055,0.0088,0.0157
0.0462,0.1026,0.0226,0.0317,0.0078,0.0264,0.0282,0.0617
0.1037,0.1643,0.079,0.0749,0.019,0.0822,0.0733,0.166
0.1788,0.2048,0.1667,0.1226,0.0515,0.1627,0.1469,0.2307
0.2133,0.1876,0.2239,0.1749,0.1155,0.2192,0.2041,0.2406
0.1962,0.1476,0.2318,0.211,0.1946,0.2068,0.2164,0.1736
0.1408,0.0867,0.158,0.1946,0.2262,0.1507,0.1707,0.0764
0.0726,0.0363,0.0769,0.1125,0.2034,0.0926,0.096,0.0244
0.0267,0.0131,0.0276,0.0489,0.1211,0.0383,0.0411,0.006
0.004,0.0029,0.0054,0.0148,0.045,0.0121,0.0096,0.001
0.0011,0.0013,9e-04,0.0034,0.0115,0.0016,0.0024,2e-04
1e-04,1e-04,3e-04,4e-04,0.0027,3e-04,5e-04,2e-04
