"v1","v2","v3","v4","v5","v6","v7","v8"
3e-04,2e-04,4e-04,8e-04,2e-04,6e-04,2e-04,0.001
0.0012,0.0024,0.003,0.0034,0.0012,0.004,2e-04,0.0095
0.0099,0.0077,0.0126,0.0134,0.008,0.0131,0.0012,0.0392
0.0422,0.0339,0.0523,0.034,0.0309,0.0384,0.0061,0.1424
0.102,0.0882,0.1554,0.0704,0.0897,0.0838,0.0154,0.4191
0.1831,0.1825,0.2773,0.1014,0.1673,0.137,0.0484,0.2368
0.2224,0.2617,0.2607,0.1375,0.2231,0.19,0.1202,0.0878
0.198,0.2317,0.1449,0.215,0.2123,0.2069,0.2293,0.0436
0.1381,0.1316,0.0629,0.2707,0.1453,0.1661,0.2733,0.0148
0.0705,0.0485,0.0206,0.123,0.0779,0.1076,0.2013,0.0047
0.0268,0.0103,0.0083,0.0252,0.0311,0.0397,0.0823,0.001
0.005,0.0011,0.0013,0.0044,0.0109,0.0099,0.0178,1e-04
5e-04,1e-04,2e-04,5e-04,0.0017,0.0024,0.0038,0
0,1e-04,1e-04,3e-04,4e-04,5e-04,5e-04,0
