"v1","v2","v3","v4","v5","v6","v7","v8"
-4.3379,-9.7894,-4.5093,-4.4609,-5.8288,-7.9371,-4.8583,-5.5586
-4.1767,0,0,-4.1133,0,0,0,0
-3.906,-8.7926,0,-3.824,0,0,-4.4536,-4.9625
-3.7857,0,0,-3.58745,0,-6.83155,-4.1735,-4.85125
-3.5308,-7.9366,0,-3.49395,-4.68395,0,0,0
-3.3536,0,0,-3.16115,0,-6.0868,-3.7448,-4.3172
-3.0661,-7.098,0,-2.9326,0,-5.83235,-3.6149,-4.2096
-2.9694,-6.78035,-3.1702,-2.6993,-3.9979,-5.3135,-3.31315,-3.94475
-2.72625,-6.2366,-2.8973,-2.499,-3.6077,-5.0149,-3.1547,0
-2.5667,-5.9301,-2.772,-2.27725,-3.43875,-4.6501,-2.9325,-3.5093
-2.4151,-5.46455,-2.4972,-2.04145,-3.0933,-4.3263,-2.72725,-3.32325
-2.22495,-4.99575,-2.34555,-1.8049,-2.9426,-3.99745,-2.5682,-3.1456
-1.9813,-4.68545,-2.1284,-1.5715,-2.6951,-3.6682,-2.3553,-2.8966
-1.8459,-4.2274,-1.9434,-1.29905,-2.4208,-3.271,-2.1508,-2.7234
-1.6025,-3.8982,-1.8289,-1.0795,-2.1906,-2.9581,-1.97135,-2.4912
-1.4333,-3.4604,-1.5624,-0.8557,-1.9689,-2.605,-1.75845,-2.3139
-1.2588,-3.0296,-1.3917,-0.63915,-1.6848,-2.2718,-1.57425,-2.0573
-1.0866,-2.6301,-1.2005,-0.4073,-1.38885,-1.9529,-1.35495,-1.853
-0.86535,-2.25545,-1.0049,-0.1263,-1.167,-1.64275,-1.1833,-1.63715
-0.6729,-1.7907,-0.84325,0.0823,-0.9111,-1.2806,-0.9938,-1.4283
-0.5046,-1.4154,-0.64765,0.3244,-0.6663,-0.9122,-0.76235,-1.2157
-0.29735,-0.99445,-0.47415,0.5507,-0.3942,-0.60675,-0.5983,-1.0168
-0.124,-0.53035,-0.2463,0.79665,-0.1364,-0.2384,-0.39985,-0.7901
0.09825,-0.1845,-0.0841,1.0198,0.094,0.1004,-0.1864,-0.5718
0.2646,0.2114,0.0874,1.28875,0.3544,0.462,0.0301,-0.3825
0.4436,0.672,0.30565,1.5147,0.5695,0.8215,0.2224,-0.162
0.64575,1.0593,0.49175,1.7396,0.8569,1.1422,0.40805,0.0691
0.86705,1.4458,0.6525,1.979,1.12145,1.49225,0.6049,0.2778
1.0038,1.90045,0.86445,2.2176,1.35955,1.7994,0.7905,0.48875
1.23175,2.3442,1.0686,2.4863,1.6177,2.1221,1.0207,0.69955
1.403,2.69015,1.24115,2.7442,1.8664,2.498,1.1816,0.8847
1.6141,3.1285,1.4193,2.89255,2.1367,2.8871,1.4311,1.1072
1.8176,3.5292,1.62165,3.174,2.39185,3.1645,1.6169,1.33645
1.9697,3.9499,1.7848,3.4022,2.6036,3.5546,1.8531,1.52435
2.1582,4.35455,1.9767,3.6172,2.8674,3.85645,1.99485,1.7413
2.3746,4.70235,2.1667,3.874,3.112,4.3099,2.2092,1.9541
2.5837,5.1407,2.3502,4.1882,3.331,4.5728,2.39645,2.16815
2.7342,5.405,2.5256,4.4695,3.6642,5.0543,2.6037,2.3659
2.892,5.88495,2.7178,4.5485,3.87855,5.1298,2.8454,2.574
3.06185,6.4031,2.9988,4.8467,4.0966,5.654,2.9547,2.8356
3.3372,6.67425,3.078,5.0562,4.4441,5.8564,3.1606,3.0113
3.5084,7.1965,3.3326,5.3567,4.6037,6.3647,3.3397,3.2348
3.6683,7.5448,3.481,0,0,6.7136,3.5723,3.4105
3.8656,0,3.6047,5.8012,5.0254,6.9623,3.7092,3.6072
4.0806,0,3.8291,0,0,7.4514,3.94715,3.8513
4.2359,8.7003,4.0054,0,5.6319,0,4.2617,4.06115
4.3953,0,4.2397,6.4572,5.8605,0,4.387,4.31055
0,0,0,0,0,8.223,0,4.5341
0,0,0,0,0,0,4.7226,0
5.1212,10.7015,4.9035,7.3086,6.72065,9.1953,5.0999,4.9571
