"v1","v2","v3","v4","v5","v6","v7","v8"
3,3,4,1,3,7,2,3
13,7,5,3,8,13,3,3
14,9,19,6,13,6,5,12
27,21,25,7,29,21,13,16
32,45,52,16,60,51,26,35
65,78,70,10,93,66,32,55
78,103,89,36,111,88,58,101
102,119,123,52,144,115,66,117
114,139,116,74,140,128,87,123
94,149,121,91,136,139,102,130
120,94,122,104,99,121,107,109
100,84,91,111,75,100,117,110
86,61,59,125,37,63,113,89
56,43,42,133,28,42,86,55
47,23,27,98,18,27,60,28
26,8,13,57,2,8,62,5
15,13,16,40,0,1,29,6
3,0,5,19,1,2,15,1
4,0,0,13,2,1,11,0
1,1,1,4,1,1,6,2
