"v1","v2","v3","v4","v5","v6","v7","v8"
3e-04,9e-04,4e-04,0,0,5e-04,0,5e-04
0.0018,0.0058,0.0021,0.0029,0.0011,0.0017,0.0017,0.0027
0.0122,0.025,0.0069,0.0148,0.0121,0.0073,0.0163,0.0127
0.056,0.0731,0.0332,0.0795,0.0484,0.0347,0.0692,0.0416
0.1442,0.1335,0.084,0.2334,0.1314,0.1145,0.1463,0.1001
0.2124,0.1625,0.1524,0.1943,0.1865,0.2314,0.2701,0.1702
0.2219,0.1645,0.1704,0.1626,0.1847,0.219,0.2984,0.1999
0.2065,0.1471,0.1648,0.1788,0.1968,0.1392,0.1244,0.1874
0.1142,0.125,0.1656,0.0978,0.1533,0.1114,0.046,0.1473
0.0277,0.0942,0.1314,0.0301,0.0653,0.0814,0.021,0.0893
0.0024,0.0471,0.0663,0.0055,0.0162,0.0393,0.0052,0.0388
4e-04,0.0161,0.0185,3e-04,0.0033,0.0141,0.0013,0.008
0,0.0043,0.0035,0,7e-04,0.0046,1e-04,0.0014
0,9e-04,5e-04,0,2e-04,9e-04,0,1e-04
