"v1","v2","v3","v4","v5","v6","v7","v8"
3e-04,0.0011,2e-04,9e-04,8e-04,2e-04,1e-04,5e-04
0.0025,0.0059,0.0024,0.0026,0.0018,0.0027,0.0011,0.0058
0.011,0.0267,0.0082,0.0123,0.0096,0.0104,0.0049,0.0256
0.0467,0.0714,0.0366,0.0349,0.0311,0.0338,0.0158,0.106
0.1036,0.1284,0.1182,0.0747,0.0795,0.0816,0.0426,0.2905
0.179,0.1908,0.2201,0.1141,0.1395,0.1472,0.0865,0.2331
0.2184,0.2191,0.2406,0.1594,0.1883,0.2049,0.1537,0.1663
0.1992,0.1919,0.1869,0.2162,0.2003,0.2082,0.2171,0.1054
0.1362,0.1102,0.1136,0.227,0.1634,0.1584,0.2197,0.0474
0.0716,0.0393,0.0499,0.1116,0.1156,0.1007,0.1614,0.0149
0.0267,0.0119,0.0184,0.0341,0.05,0.0391,0.0721,0.0035
0.004,0.0022,0.0041,0.009,0.0168,0.0109,0.0194,7e-04
8e-04,0.001,7e-04,0.0027,0.0027,0.0016,0.0048,2e-04
0,1e-04,1e-04,5e-04,6e-04,3e-04,8e-04,1e-04
